iter	Passed	Remaining
0	0	806
1	1	718
2	2	666
3	2	636
4	3	623
5	3	615
6	4	608
7	4	598
8	5	591
9	6	598
10	6	596
11	7	598
12	7	596
13	8	593
14	8	590
15	9	587
16	10	586
17	10	583
18	11	582
19	11	584
20	12	583
21	13	582
22	13	578
23	14	575
24	14	573
25	15	571
26	15	569
27	16	567
28	16	567
29	17	567
30	18	567
31	18	567
32	19	565
33	19	563
34	20	562
35	21	562
36	21	560
37	22	561
38	22	560
39	23	559
40	23	558
41	24	557
42	25	556
43	25	555
44	26	553
45	26	552
46	27	550
47	27	554
48	28	553
49	29	553
50	29	551
51	30	550
52	30	550
53	31	549
54	31	548
55	32	547
56	33	546
57	33	546
58	34	545
59	34	544
60	35	543
61	35	541
62	36	540
63	36	539
64	37	538
65	38	538
66	38	540
67	39	539
68	39	538
69	40	537
70	40	536
71	41	535
72	42	534
73	42	534
74	43	533
75	44	537
76	44	536
77	45	535
78	45	534
79	46	533
80	46	532
81	47	531
82	47	528
83	48	527
84	48	526
85	49	525
86	50	525
87	50	524
88	51	523
89	51	522
90	52	522
91	52	521
92	53	520
93	53	519
94	54	518
95	55	518
96	55	517
97	56	516
98	56	515
99	57	514
100	57	514
101	58	514
102	59	518
103	60	518
104	60	517
105	61	516
106	61	515
107	62	515
108	62	514
109	63	513
110	63	512
111	64	511
112	65	510
113	65	510
114	66	509
115	66	508
116	67	507
117	67	506
118	68	505
119	68	504
120	69	504
121	69	502
122	70	502
123	71	503
124	71	503
125	72	503
126	73	502
127	73	503
128	74	503
129	75	502
130	76	504
131	76	504
132	77	504
133	77	503
134	78	502
135	78	501
136	79	500
137	79	499
138	80	498
139	80	496
140	81	495
141	81	494
142	82	493
143	82	492
144	83	491
145	83	490
146	84	489
147	84	487
148	85	487
149	85	486
150	86	484
151	86	483
152	87	484
153	87	483
154	88	482
155	89	482
156	89	481
157	90	480
158	90	479
159	91	479
160	91	477
161	92	476
162	92	475
163	93	475
164	93	474
165	94	473
166	94	473
167	95	472
168	95	471
169	96	470
170	96	470
171	97	469
172	98	469
173	98	468
174	99	467
175	99	466
176	100	466
177	100	465
178	101	464
179	101	463
180	102	462
181	102	461
182	103	460
183	103	459
184	104	458
185	104	457
186	105	456
187	105	455
188	105	454
189	106	453
190	106	452
191	107	452
192	107	451
193	108	450
194	109	450
195	109	449
196	110	448
197	110	447
198	110	446
199	111	445
200	111	444
201	112	443
202	112	443
203	113	442
204	113	441
205	114	440
206	114	439
207	115	439
208	115	438
209	116	437
210	116	436
211	117	435
212	117	435
213	118	434
214	118	433
215	119	432
216	119	432
217	120	431
218	120	430
219	121	429
220	121	428
221	122	427
222	122	427
223	123	426
224	123	425
225	124	424
226	124	424
227	125	423
228	125	422
229	126	422
230	126	421
231	127	420
232	127	419
233	127	418
234	128	418
235	128	417
236	129	416
237	129	415
238	130	415
239	130	414
240	131	413
241	131	412
242	132	412
243	132	411
244	133	410
245	133	409
246	134	409
247	134	408
248	135	407
249	135	407
250	136	406
251	136	406
252	137	405
253	138	405
254	138	404
255	139	404
256	139	403
257	140	403
258	140	402
259	141	402
260	141	401
261	142	400
262	142	400
263	143	399
264	143	398
265	144	398
266	144	397
267	145	396
268	145	395
269	146	395
270	146	394
271	147	394
272	147	393
273	148	392
274	148	391
275	149	391
276	149	390
277	150	389
278	150	389
279	151	388
280	151	388
281	152	387
282	152	386
283	153	385
284	153	385
285	154	384
286	154	383
287	154	383
288	155	382
289	155	381
290	156	381
291	156	380
292	157	380
293	157	379
294	158	378
295	158	378
296	159	377
297	159	376
298	160	375
299	160	375
300	161	374
301	161	373
302	162	373
303	162	372
304	163	372
305	163	371
306	164	370
307	164	370
308	165	369
309	165	368
310	166	368
311	166	367
312	167	366
313	167	366
314	168	365
315	168	365
316	169	364
317	169	363
318	170	363
319	170	362
320	170	361
321	171	361
322	171	360
323	172	359
324	172	359
325	173	358
326	173	357
327	174	357
328	174	356
329	175	356
330	175	355
331	176	354
332	176	354
333	177	353
334	177	352
335	178	352
336	178	351
337	179	351
338	179	350
339	180	349
340	180	349
341	181	348
342	181	347
343	182	347
344	182	346
345	182	345
346	183	345
347	184	344
348	184	344
349	185	343
350	185	342
351	185	342
352	186	341
353	186	341
354	187	340
355	187	339
356	188	339
357	188	338
358	189	338
359	190	337
360	190	337
361	191	336
362	191	336
363	191	335
364	192	334
365	192	334
366	193	333
367	194	333
368	194	332
369	195	333
370	196	332
371	196	331
372	197	331
373	197	330
374	198	330
375	198	329
376	198	328
377	199	328
378	199	327
379	200	327
380	201	326
381	201	326
382	202	325
383	202	324
384	203	324
385	203	323
386	203	323
387	204	322
388	204	321
389	205	321
390	205	320
391	206	320
392	206	319
393	207	318
394	207	318
395	208	317
396	208	317
397	209	316
398	209	315
399	210	315
400	210	315
401	211	314
402	211	313
403	212	313
404	212	312
405	213	312
406	213	311
407	214	310
408	214	310
409	215	309
410	215	309
411	216	308
412	216	308
413	217	307
414	217	306
415	218	306
416	218	305
417	219	304
418	219	304
419	219	303
420	220	303
421	220	302
422	221	302
423	221	301
424	222	300
425	222	300
426	223	299
427	223	299
428	224	298
429	224	297
430	225	297
431	225	296
432	226	296
433	226	295
434	227	295
435	227	294
436	228	293
437	228	293
438	229	292
439	229	292
440	230	291
441	230	291
442	230	290
443	231	289
444	231	289
445	232	288
446	232	288
447	233	287
448	233	287
449	234	286
450	234	285
451	235	285
452	235	284
453	236	284
454	236	283
455	237	283
456	237	282
457	238	282
458	238	281
459	239	280
460	239	280
461	240	279
462	240	279
463	241	278
464	241	278
465	242	277
466	242	276
467	243	276
468	243	275
469	244	275
470	244	274
471	245	274
472	245	273
473	246	273
474	246	272
475	246	271
476	247	271
477	247	270
478	248	270
479	248	269
480	249	269
481	249	268
482	250	267
483	250	267
484	251	266
485	251	266
486	252	265
487	252	265
488	253	264
489	253	264
490	254	263
491	254	263
492	255	262
493	255	262
494	256	261
495	256	260
496	257	260
497	257	259
498	258	259
499	258	258
500	259	258
501	259	257
502	260	257
503	260	256
504	261	256
505	261	255
506	262	255
507	262	254
508	263	253
509	263	253
510	264	252
511	264	252
512	265	251
513	265	251
514	266	250
515	267	250
516	267	249
517	267	249
518	268	248
519	268	248
520	269	247
521	270	247
522	270	246
523	271	246
524	271	245
525	272	245
526	272	244
527	272	244
528	273	243
529	273	242
530	274	242
531	274	241
532	275	241
533	276	240
534	276	240
535	277	239
536	277	239
537	277	238
538	278	238
539	278	237
540	279	236
541	279	236
542	280	235
543	280	235
544	281	234
545	282	234
546	282	234
547	283	233
548	283	233
549	284	232
550	284	231
551	285	231
552	285	230
553	286	230
554	286	229
555	287	229
556	287	228
557	288	228
558	288	227
559	289	227
560	289	226
561	290	226
562	290	225
563	291	224
564	291	224
565	292	224
566	292	223
567	293	222
568	293	222
569	294	221
570	294	221
571	294	220
572	295	220
573	295	219
574	296	219
575	296	218
576	297	218
